流水號	年	月	日	發表形式	組別	組別-英	時間(分)	編號	競賽	報告者	作者	題目	組別分類(下拉選單)	題目-英	單位	研究室	物種	得獎與否	備註
47	1998	2	6-7	海報						劉威廷	劉威廷、陳炳煌	彰濱地區三種水鳥一燕鴴(Glareola maldivarum)、東方環頸鴴(Charadrius alexandrinus)和小燕鷗(Sterna albifrons)繁殖生態之研究	行為生態學		東海大學環境科學研究所		燕鴴、東方環頸鴴、小燕鷗		
48	1998	2	6-7	海報						謝嘉珍	謝嘉珍、鍾文松、李宗翰	莫三比克吳郭魚(Oreochromis mossambicus)生殖及育幼行為之描述	行為生態學		中興大學生命科學院動物系		莫三比克吳郭魚		
49	1998	2	6-7	海報						黃玉華	1.黃玉華、1.李宗翰、2.廖運志、1.尤少彬	蓋斑鬥魚(Macropodus opercularis)生殖行為之探討	行為生態學		1.中興大學動物學系、2.台灣大學海洋研究所		蓋斑鬥魚		
50	1998	2	6-7	海報						周慶玗	周慶玗、程一駿	影響綠蠵龜龜卵孵化的因素之探討	生理生態		海洋大學海洋生物研究所		綠蠵龜		
51	1998	2	6-7	海報						侯平君	1.侯平君、2.滕民強、1.黃淑萍	自動錄音系統在兩棲類生態研究的應用	行為生態學		1.成功大學生物學研究所、2.屏東科技大學農園技術系				
52	1998	2	6-7	海報						胡樹萱	胡樹萱、孫義方	稜果榕與榕果小蜂之交互關係	動植物交互關係		東海大學生物系		稜果榕、榕果小蜂		
53	1998	2	6-7	海報						黃仁德	1.黃仁德、1.李宗翰、2.黃鵬鵬、3.張文炳、1.薛攀文、1.尤少彬	水蚤(Moinamacrocopa)生活史之探討	族群生態學		1.中興大學動物學系、2.中央研究院動物研究所、3.海洋生物博物館籌備處		水蚤		
54	1998	2	6-7	海報						蕭建軍	蕭建軍、徐芝敏	紅辣蓼象鼻蟲(Lixus impressiventri Roelofs)生態學初探	族群生態學		中山大學生物科學系		紅辣蓼象鼻蟲		
55	1998	2	6-7	海報						方桂蘭	方桂蘭、程一駿	以生物測定法來探討淡水竹圍紅樹林沈積物的營養價値			台灣海洋大學海洋生物系				
56	1998	2	6	口頭報告	動物行為組		15			楊吉宗	楊吉宗、廖光正	圈養台灣黑熊之飼養及其嗜食性	野生動植物保育與經營管理		台灣省特有生物研究保育中心		臺灣黑熊		
57	1998	2	6	口頭報告	動物行為組		15			吳培傑	吳培傑、林良恭	利用無線電追蹤法則測定合歡山區台灣高山田鼠 (Microtus kikuchii) 的活動範圍	行為生態學		東海大學生物系		高山田鼠		
58	1998	2	6	口頭報告	動物行為組		15			龍佩君	1.龍佩君、1.黃致遠、1.梁世雄、2.徐芝敏	新化地區高頭蝠 (Scotophilus kuhlii) 行為生態之研究	行為生態學		1.高雄師範大學生物科學研究所、2.中山大學生物科學系		高頭蝠		
59	1998	2	6	口頭報告	動物行為組		15			賴惠珍	賴惠珍、張素卿、張學文	朱鸝的族群生態	族群生態學		國立中山大學生物系		朱鸝		
60	1998	2	6	口頭報告	動物行為組		15			陳宜玲	陳宜玲、陳炳煌	東方環頸鴴對螃蟹覓食偏好之實驗室研究	行為生態學		東海大學環境科學研究所		東方環頸鴴		
61	1998	2	6	口頭報告	動物行為組		15			游淑鈞	游淑鈞	金翼白眉之生物學研究初探	行為生態學		台灣大學森林系		金翼白眉		
62	1998	2	6	口頭報告	動物行為組		15			劉彥廷	劉彥廷、袁孝維	冠羽畫眉 (Yuhina brunneiceps) 合作生殖行為初探	行為生態學		台灣大學森林系		冠羽畫眉 (Yuhina brunneiceps)		
63	1998	2	6	口頭報告	動物行為組		15			姚正得	姚正得、艾台霖、黃秀珍	小鷦眉生殖習性之初步研究	行為生態學		特有生物研究保育中心動物組		小鷦眉		
64	1998	2	7	口頭報告	動物行為組		15			陳玉芬	2.陳玉芬、1.曾晴賢	簡易式魚道之設計	野生動植物保育與經營管理		1.清華大學生命科學系、2.清華大學動力機械研究所				
65	1998	2	7	口頭報告	動物行為組		15			林志昌	林志昌、程一駿	望安綠蠵龜產卵保護區人為干擾及經營管理之生態觀光的探討	野生動植物保育與經營管理		海洋大學海洋生物研究所		綠蠵龜		
66	1998	2	7	口頭報告	動物行為組		15			李蕙蓁	1.李蕙蓁、1.宋秉明、2.程一駿	望安島學生、居民與遊客對綠蠵龜保育認知之研究	生物與環境教育		1.東華大學自然資源管理研究所、2.海洋大學海洋生物研究所		綠蠵龜		
67	1998	2	7	口頭報告	動物行為組		15			黃文山	黃文山	蘭嶼赤背松柏根吃綠蠵龜蛋之研究初探	行為生態學		國立自然科學博物館動物學組		綠蠵龜		
68	1998	2	7	口頭報告	動物行為組		15			林郁君	林郁君、杜銘章	蛇類跨越能力與棲地環境關係之研究	行為生態學		台灣師範大學生物系				
69	1998	2	7	口頭報告	動物行為組		15			侯平君	侯平君、施宜汝	南仁古湖拉都希氏赤蛙生殖族群動態	族群生態學		成功大學生物學研究所		拉都希氏赤蛙		
70	1998	2	7	口頭報告	動物行為組		15			卓逸民	卓逸民、劉小如	蘭嶼寄居姬蜘之攝絲行為：一種獨特之食物竊取模式	行為生態學		中央研究院動物研究所		寄居姬蜘		
71	1998	2	7	口頭報告	動物行為組		15			施希建	1.施希建、1.王建平、2.洪仁君	南仁山古湖四節蜉蝣之族群動態研究	族群生態學		1.成功大學生物系、2.屏東科技大學野生動物保育系		四節蜉蝣		
72	1998	2	6	口頭報告	群聚生態組		15			李亦書	李亦書、尤少彬	小雨燕 (Apus affinis) 生殖生態的初步研究	族群生態學		中興大學動物系		小雨燕 (Apus affinis)		
73	1998	2	6	口頭報告	群聚生態組		15			黃雅雯	1.黃雅雯、1.關永才、2.廖世卿、1.陳怡仁、3.顏瓊芬	灰面鷲遷徙行為之研究	族群生態學		1.彰化師範大學生物系、2.彰化縣野鳥協會、3.彰化師範大學科研所		灰面鷲		
74	1998	2	6	口頭報告	群聚生態組		15			蔡錦文	蔡錦文、袁孝維	塔塔加高山生態系研究-鳥類與哺乳類群聚生態之研究	群聚生態學		台灣大學森林系資源保育組				
75	1998	2	6	口頭報告	群聚生態組		15			莊鈴川	12.莊鈴川、3.梁世雄、1.林曜松	哈盆溪流域魚類群聚生態之研究-魚類之棲地利用	群聚生態學		1.台灣大學動物學研究所、2.台灣大學漁業生物試驗所、3.高雄師範大學生命科學研究所				
76	1998	2	6	口頭報告	群聚生態組		15			李德旺	李德旺、于錫亮	埔里中華爬岩鰍之族群分布調查	族群生態學		特有生物保育中心動物組		埔里中華爬岩鰍		
77	1998	2	6	口頭報告	群聚生態組		15			陳久林	陳久林、程一駿	望安綠蠵龜卵窩溫度變化對稚龜之影響	生理生態		海洋大學海洋生物研究所		綠蠵龜		
78	1998	2	6	口頭報告	群聚生態組		15			王文霖	1.王文霖、1.胡正恆、1.郭慧蓮、2.呂月霞、1.程一駿	蘭嶼綠蠵龜生殖生態學的研究	族群生態學		1.海洋大學海洋生物研究所、2.蘭恩基金會		綠蠵龜		
79	1998	2	6	口頭報告	群聚生態組		15			朱賢斌	朱賢斌	嘉義地區道路死亡爬蟲動物之調查	野生動植物保育與經營管理		特有生物研究保育中心動物組				
80	1998	2	7	口頭報告	群聚生態組		15			陳怡惠	1.陳怡惠、2.黃雲清、2.關永才	蝌蚪發育期與種內競爭關係之研究	族群生態學		1.彰化師範大學科研所、2.彰化師範大學生物系				
81	1998	2	7	口頭報告	群聚生態組		15			關永才	1.關永才、2.陳德治、2.蘇彥肇	關刀溪斯文豪氏赤蛙族群生態之研究	族群生態學		1.彰化師範大學生物系、2.台灣大學動物研究所		斯文豪氏赤蛙		
82	1998	2	7	口頭報告	群聚生態組		15			蘇彥肇	1.蘇彥肇、2.關永才、1.林曜松	由大蝌蚪數量改變對小蝌蚪的影響看艾氏樹蛙的種內競爭	族群生態學		1.台灣大學動物所、2.彰化師範大學動物系		艾氏樹蛙		
83	1998	2	7	口頭報告	群聚生態組		15			廖婕妤	廖婕妤、吳聲海	東北角雙溪流域兩生類之族群組成	群聚生態學		中興大學動物系				
84	1998	2	7	口頭報告	群聚生態組		15			郭峙廷	郭峙廷、程一駿	兩個不同潮泥帶的食底泥動物與其環境因子之間關係的探討	群聚生態學		台灣海洋大學海洋生物研究所				
85	1998	2	7	口頭報告	群聚生態組		15			鍾兆晉	鍾兆晉、侯平君	林口台地懸巢舉尾蟻 (Crematogaster rogenhoferi) 空間分佈模式及築巢選擇行為之探討	行為生態學		成功大學生物學研究所		懸巢舉尾蟻 (Crematogaster rogenhoferi)		
86	1998	2	7	口頭報告	群聚生態組		15			楊燿隆	楊燿隆	松崗地區大紅紋鳳蝶族群估算	族群生態學		特有生物研究保育中心動物組		大紅紋鳳蝶		
87	1998	2	7	口頭報告	群聚生態組		15			龍佩君	1.龍佩君、2.徐芝敏	墾丁地區臺灣小蹄鼻蝠 (Rhinolophus monoceros) 生殖與行為之研究	行為生態學		1.高雄師範大學生物科學研究所、2.中山大學生物科學系		臺灣小蹄鼻蝠 (Rhinolophus monoceros)		
88	1998	2	6	口頭報告	生活史與族群變遷		15			陳健戊	陳健戊、林良恭	台灣葉鼻蝠之出生後成長與發育	行為生態學		東海大學生物系		台灣葉鼻蝠		
89	1998	2	6	口頭報告	生活史與族群變遷		15			蔡雯怡	蔡雯怡、林曜松	哈盆溪流域粗糙沼蝦 (Macrobrachium asperulum) 之形質間的關係初探	生物親緣地理與分類學		台灣大學動物系		粗糙沼蝦 (Macrobrachium asperulum)		
90	1998	2	6	口頭報告	生活史與族群變遷		15			薛攀文	薛攀文	雙齒豆蟹游泳期之時空豐富量與族群結構	族群生態學		中興大學動物學系		雙齒豆蟹		
91	1998	2	6	口頭報告	生活史與族群變遷		15			蕭仁傑	1.蕭仁傑、1.曾晴賢、2.林芳儀	秀姑巒溪河海洄游型蝦虎的族群量變動與溯河動態	族群生態學		1.清華大學生命科學系、2.清華大學化工系				
92	1998	2	6	口頭報告	生活史與族群變遷		15			陳溫柔	12.陳溫柔、1.林金福	高雄縣大樹鄉蔡氏澤蟹 (Grothelphusa tsayae ) 成長之外表型態變化探討	生物親緣地理與分類學		1.高雄縣立溪埔國中、2.中山大學海洋生物研究所（畢）		蔡氏澤蟹 (Grothelphusa tsayae )		
93	1998	2	6	口頭報告	生活史與族群變遷		15			陳添喜	陳添喜、呂光洋	食蛇龜 (Cistoclemmys flavomarginata) 的生殖策略	族群生態學		台灣師範大學生物系		食蛇龜 (Cistoclemmys flavomarginata)		
94	1998	2	6	口頭報告	生活史與族群變遷		15			蔡添順	蔡添順、杜銘章	台灣北部地區赤尾青竹絲 (Trimeresurus stejnegeri stejnegeri ) 生殖器官和性激素週期性變化的研究	族群生態學		台灣師範大學生物系		赤尾青竹絲 (Trimeresurus stejnegeri stejnegeri )		
95	1998	2	6	口頭報告	生活史與族群變遷		15			黃堅庭	黃堅庭、呂光洋	翡翠樹蛙 (Rhacophorus prasinatus ) 蝌蚪群聚之研究	族群生態學		台灣師範大學生物系		翡翠樹蛙 (Rhacophorus prasinatus )		
96	1998	2	7	口頭報告	生活史與族群變遷		15			林獻升	林獻升、呂光洋	台灣北部地區樹蛙科卵泡上寄生性蠅類之初探	群聚生態學		台灣師範大學生物學系				
97	1998	2	7	口頭報告	生活史與族群變遷		15			林春富	林春富、汪明學、陳琬婷	苗栗縣兩棲類資源調查	野生動植物保育與經營管理		特有生物研究保育中心動物組				
98	1998	2	7	口頭報告	生活史與族群變遷		15			高立	高立、吳聲海	掠食者對腹斑蛙 (Rana adenopleura ) 蝌蚪生存的影響	群聚生態學		中興大學動物系		腹斑蛙 (Rana adenopleura )		
99	1998	2	7	口頭報告	生活史與族群變遷		15			何健鎔	1.何健鎔、2.蘇宗宏、1.林春基	大端黑螢的生活史與造繭行為	行為生態學		1.特有生物研究保育中心、2.中興大學昆蟲學研究所		大端黑螢		
100	1998	2	7	口頭報告	生活史與族群變遷		15			莊淑君	莊淑君、陳俊宏	台灣地區蛇蚯蚓資源分布的初探	群聚生態學		台灣大學動物系				
101	1998	2	7	口頭報告	生活史與族群變遷		15			邱郁文	邱郁文、陳弘成	影響田螺科生物形態變異因子之探討	族群生態學		台灣大學動物研究所				
102	1998	2	7	口頭報告	生活史與族群變遷		15			黃宗舜	黃宗舜、程一駿	淡水竹圍紅樹林食底泥動物之春季生殖高峰與營養因子間的關係	群聚生態學		台灣海洋大學海洋生物系				
103	1998	2	7	口頭報告	生活史與族群變遷		15			林明墩	1.林明墩、12.方力行、3.陳昭倫	兩種瘤海葵(Phymathus spp.)生殖生態與族群動態之研究	族群生態學		1.中山大學海洋資源研究所、2.海洋生物博物館籌備處、3.中央研究院動物研究所				
104	1998	2	6	口頭報告	分子及生理生態		15			楊懿如	楊懿如	台灣動物分子生態學發展之過去與未來	分子生態學		台灣大學動物系				
105	1998	2	6	口頭報告	分子及生理生態		15			王子元	1.王子元、1.曾晴賢、2.沈世傑	台灣四種平鰭鰍科魚類之親緣關係	生物親緣地理與分類學		1.清華大學生命科學系、2.台灣大學動物系				
106	1998	2	6	口頭報告	分子及生理生態		15			林勇欣	林勇欣、曾晴賢	淡水鰻魚的演化及系統分類	生物親緣地理與分類學		清華大學生命科學系				
107	1998	2	6	口頭報告	分子及生理生態		15			潘雅雯	潘雅雯、呂光洋	蓬萊草蜥(Takydromus stejnegeri)族群基因組成變異之初探	生物親緣地理與分類學		台灣師範大學生物系		蓬萊草蜥(Takydromus stejnegeri)		
108	1998	2	6	口頭報告	分子及生理生態		15			向高世	1.向高世、2.張學文、1.呂光洋	由粒腺體核酸序列分析台灣產攀蜥屬蜥蜴之親緣關係及生物地理	生物親緣地理與分類學		1.台灣師範大學生物系、2.中山大學生物科學系				
109	1998	2	6	口頭報告	分子及生理生態		15			陳昭倫	陳昭倫	珊瑚，共生藻和白化-----分子生態的觀點	分子生態學		中央研究院動物研究所				
110	1998	2	6	口頭報告	分子及生理生態		15			謝伯娟	12.謝伯娟、1.林曜松、2.巫文隆	台灣產煙管蝸牛科親緣關係之研究	生物親緣地理與分類學		1.台灣大學動物系、2.中央研究院動物所軟體動物研究室				
111	1998	2	6	口頭報告	分子及生理生態		15			楊雅菁	楊雅菁、柯博元、關永才	馴化溫度對艾氏樹蛙蝌蚪耗氧代謝之影響	生理生態		彰化師範大學生物系		艾氏樹蛙		
112	1998	2	7	口頭報告	分子及生理生態		15			王琬菁	王琬菁、黃麗瑾、吳聲海	大肚溪流域梭德氏赤蛙(Rana sauteri)族群變遷之研究	分子生態學		中興大學動物系		梭德氏赤蛙(Rana sauteri)		
113	1998	2	7	口頭報告	分子及生理生態		15			陳坤鴻	1.陳坤鴻、1.侯平君、2.辛致煒	不同海拔盤古蟾蜍同功異構酵素之比較	生物親緣地理與分類學		1.成功大學生物系、2.成功大學醫學院寄生蟲學系		盤古蟾蜍		
114	1998	2	7	口頭報告	分子及生理生態		15			黃淑萍	黃淑萍、侯平君	高低海拔盤古蟾蜍代謝之比較	生理生態		成功大學生物學研究所		盤古蟾蜍		
115	2000	2	26-27	海報	動物行為			A01		林獻升	林獻升	越北蠅寄生對卵泡及母蛙生殖投資之影響	行為生態學		師範大學生物系				
116	2000	2	26-27	海報	動物行為			A02		莊鎮碩	莊鎮碩	諸羅樹蛙(Rhacoporus arvalis)生殖行為之研究	行為生態學		師範大學生物系		諸羅樹蛙		
117	2000	2	26-27	海報	動物行為			A03		賴鵬仁	賴鵬仁	沙灘坡度對於綠蠵龜上岸產卵之影響	行為生態學		海洋大學海生所		綠蠵龜		
118	2000	2	26-27	海報	動物行為			A04		黃振庭	黃振庭	台東縣蘭嶼島上錄蠵龜對產卵棲地之選擇性	行為生態學		海洋大學海生所		綠蠵龜		
119	2000	2	26-27	海報	動物行為			A05		彭紹宏	彭紹宏	重金屬下的珊瑚 (Subergorgia suberosa)	行為生態學		海洋大學海生所		珊瑚 (Subergorgia suberosa)		
120	2000	2	26-27	海報	動物行為			A06		吳華蓉	吳華蓉	圓蚌(Anodonta woodiana)誘發高體 (Rhodeus ocellatus) 產卵行為主因之探討	行為生態學		中興大學動物系		圓蚌(Anodonta woodiana)、高體 (Rhodeus ocellatus)		
121	2000	2	26-27	海報	動物行為			A07		李宜欣	李宜欣	沼緣蜉蝣 Cloeon marginale 之同步羽化	行為生態學		成功大學生物系		沼緣蜉蝣 Cloeon marginale		
122	2000	2	26-27	海報	動物行為			A08		郭淳棻	郭淳棻	大捲尾日間活動與夜間覓食行為初探	行為生態學		屏東科技大學野保系		大捲尾		
123	2000	2	26-27	海報	動物行為			A09		葉曉穎	葉曉穎	台灣獼猴托嬰行為初探	行為生態學		屏東科技大學野保系		臺灣獼猴		
124	2000	2	26-27	海報	動物行為			A10		郭耀臨	郭耀臨	柴山地區臺灣獼猴(Macaca cyclopis)食性之探討	行為生態學		屏東科技大學野保系		臺灣獼猴		
125	2000	2	26-27	海報	動物行為			A11		陳貞志	陳貞志	柴山地區群外公猴之行為模式探討	行為生態學		屏東科技大學野保系		臺灣獼猴		
126	2000	2	26-27	海報	動物行為			A12		郭亭君	郭亭君	圈養老虎活動模式之探討	野生動植物保育與經營管理		屏東科技大學野保系		老虎		
127	2000	2	26-27	海報	動物行為			A13		吳智翔	吳智翔	屏東萬巒地區東亞家蝠活動模式及棲地選擇	行為生態學		屏東科技大學野保系		東亞家蝠		
128	2000	2	26-27	海報	動物行為			A14		方雅玲	方雅玲	台灣蝙蝠飛翼型態分析	行為生態學		屏東科技大學野保系				
129	2000	2	26-27	海報	族群生態及生態系			B01		邱珍	邱珍	生殖期雌雄台灣葉鼻蝠(Hipposideros terasensis)之食性	行為生態學		台灣大學動物系		臺灣葉鼻蝠		
130	2000	2	26-27	海報	族群生態及生態系			B02		吳郁銑	吳郁銑	關渡濕地三種錐螺科(Thiaridae)貝類之生殖生物學之研究	族群生態學		文化大學生物系		三種錐螺科(Thiaridae)貝類		
131	2000	2	26-27	海報	族群生態及生態系			B03		王選昶	王選昶	紅管星珊瑚(Tubastrea aurea)幼生著苗之初步研究	族群生態學		海洋大學海生所		紅管星珊瑚(Tubastrea aurea)		
132	2000	2	26-27	海報	族群生態及生態系			B04		林鳳嬌	林鳳嬌	澎湖海蛄蝦類之研究	群聚生態學		海洋大學演科所				
133	2000	2	26-27	海報	族群生態及生態系			B05		李致安	李致安	利用TOBEC測量大肚溪口濱鷸渡冬期間體脂肪的變化	生理生態		海洋大學		濱鷸		
134	2000	2	26-27	海報	族群生態及生態系			B06		周怡嘉	周怡嘉	惠蓀林場杉木造林地及次生闊葉林底棲性蜘蛛多樣性之比較	群聚生態學		海洋大學生物系				
135	2000	2	26-27	海報	族群生態及生態系			B07		陳炳煌	陳炳煌	紅鳩與珠頸斑鳩的生態區位區隔之研究	群聚生態學		束海大學環境科學所		紅鳩、珠頸斑鳩		
136	2000	2	26-27	海報	族群生態及生態系			B08		戴佩玲	戴佩玲	人面蜘蛛之體色多型性現象:族群遺傳結構及覓食能力之比較	生物親緣地理與分類學		東海大學生物系		人面蜘蛛		
137	2000	2	26-27	海報	族群生態及生態系			B09		溫華霞	溫華霞	太魯閣國家公園莫氏樹蛙生殖行為及生態學研究初探	行為生態學		東華大學自然資源管理所		莫氏樹蛙		
138	2000	2	26-27	海報	族群生態及生態系			B10		李有恭	李有恭	台灣蝙蝠及高雄市柴山地區獼猴保育教育問卷調查	生物與環境教育		屏東科技大學野保系		臺灣獼猴		
139	2000	2	26-27	海報	族群生態及生態系			B11		吳旭吟	吳旭吟	台灣西部都會區對野生動物保育之態度	生物與環境教育		屏東科技大學野保系				
